location_id,formattedAddress,addressLine1,addressLine2,county,zipCode,city,state,latitude,longitude
95,"4040 8th ave ne, seattle, wa 98105",4040 8th Ave NE,Unknown,King,98105,Seattle,WA,47.656784,-122.31945
96,"206 5th ave n, seattle, wa 98109",206 5th Ave N,Unknown,King,98109,Seattle,WA,47.62004,-122.34724
97,"13433 greenwood ave n, seattle, wa 98133",13433 Greenwood Ave N,Unknown,King,98133,Seattle,WA,47.726868,-122.356071
98,"1111 e olive st, seattle, wa 98122",1111 E Olive St,Unknown,King,98122,Seattle,WA,47.616173,-122.317787
99,"1280 harrison st, seattle, wa 98109",1280 Harrison St,Unknown,King,98109,Seattle,WA,47.6228,-122.33123
100,"1320 e highland ave, phoenix, az 85014",1320 E Highland Ave,Unknown,Maricopa,85014,Phoenix,AZ,33.50594,-112.05388
101,"35035 n north valley pkwy, phoenix, az 85086",35035 N North Valley Pkwy,Unknown,Maricopa,85086,Phoenix,AZ,33.80303,-112.13114
102,"3802 n 28th st, phoenix, az 85016",3802 N 28th St,Unknown,Maricopa,85016,Phoenix,AZ,33.49177,-112.02178
103,"4815 e thomas rd, phoenix, az 85018",4815 E Thomas Rd,Unknown,Maricopa,85018,Phoenix,AZ,33.47952,-111.9774
104,"9330 w mcdowell rd, phoenix, az 85037",9330 W Mcdowell Rd,Unknown,Maricopa County,85037,Phoenix,AZ,33.466446,-112.259655
105,"5421 w indian school rd, phoenix, az 85031",5421 W Indian School Rd,Unknown,Maricopa,85031,Phoenix,AZ,33.493667,-112.176221
106,"5550 e deer valley dr, phoenix, az 85054",5550 E Deer Valley Dr,Unknown,Maricopa,85054,Phoenix,AZ,33.677541,-111.961572
107,"4029 w mcdowell rd, phoenix, az 85009",4029 W Mcdowell Rd,Unknown,Maricopa County,85009,Phoenix,AZ,33.4656,-112.147008
108,"6525 n 15th ave, phoenix, az 85015",6525 N 15th Ave,Unknown,Maricopa County,85015,Phoenix,AZ,33.53223,-112.09055
109,"121 w portland st, phoenix, az 85003",121 W Portland St,Unknown,Maricopa,85003,Phoenix,AZ,33.45948,-112.07494
